ba_code,metric,scenario,source_path,wind_capacity_mw,solar_capacity_mw,total_capacity_mw,installed_wind_capacity_mw,installed_solar_capacity_mw,installed_total_capacity_mw,ba_type,has_load,has_wind,has_solar,has_renewable,peak_load_mw,average_load_mw
MISO_SA,renew_cf_equiv__installed_2024,installed_2024,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,184.5,3793.7,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,net_load_mw__split_w00_s100,split_w00_s100,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,3978.2,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,renew_cf_equiv__split_w00_s100,split_w00_s100,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,3978.2,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,net_load_mw__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,994.55,2983.65,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,renew_cf_equiv__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,994.55,2983.65,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,net_load_mw__split_w50_s50,split_w50_s50,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,1989.1,1989.1,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,renew_cf_equiv__split_w50_s50,split_w50_s50,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,1989.1,1989.1,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,net_load_mw__split_w75_s25,split_w75_s25,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,2983.65,994.55,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,renew_cf_equiv__split_w75_s25,split_w75_s25,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,2983.65,994.55,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,net_load_mw__split_w100_s00,split_w100_s00,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,3978.2,0.0,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SA,renew_cf_equiv__split_w100_s00,split_w100_s00,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SA_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,3978.2,0.0,3978.2,184.5,3793.7,3978.2,load + wind + solar,True,True,True,True,34033.36,19500.655628
MISO_SUBREGION_SUM,load_mw,installed_2024,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,32150.699975,13574.899987,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
MISO_SUBREGION_SUM,net_load_mw__installed_2024,installed_2024,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,32150.699975,13574.899987,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
MISO_SUBREGION_SUM,renew_cf_equiv__installed_2024,installed_2024,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,32150.699975,13574.899987,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
MISO_SUBREGION_SUM,net_load_mw__split_w00_s100,split_w00_s100,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,45725.599963,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
MISO_SUBREGION_SUM,renew_cf_equiv__split_w00_s100,split_w00_s100,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,0.0,45725.599963,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
MISO_SUBREGION_SUM,net_load_mw__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,11431.399991,34294.199972,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
MISO_SUBREGION_SUM,renew_cf_equiv__split_w25_s75,split_w25_s75,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,11431.399991,34294.199972,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
MISO_SUBREGION_SUM,net_load_mw__split_w50_s50,split_w50_s50,data_inputs/wtk_bchrrr_nsrdb_2007_2023/pooled_scenario_metrics/MISO_SUBREGION_SUM_wtk_bchrrr_nsrdb_2007_2023_scenario_metrics.csv,22862.799981,22862.799981,45725.599963,32150.699975,13574.899987,45725.599963,load + wind + solar,True,True,True,True,126310.88,73400.375386
